no,업체명,제품명,주성분,첨가제,허가일,제조/수입,모양,장축,단축,수입제조국,주성분영문
1639,(주)넥스팜코리아,메부라틴정150밀리그람(트리메부틴말레산염)(수출명:MEBURATIN Tablet 150mg),트리메부틴말레산염,"유당수화물,젤라틴,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,옥수수전분,히드록시프로필셀룰로오스",2004-04-22,제조,원형,8.99,8.99,,Trimebutine Maleate
1640,엔비케이제약(주),메부란정(트리메부틴말레산염),트리메부틴말레산염,"미결정셀룰로오스,유당수화물,콜로이드성이산화규소,크로스카멜로오스나트륨,스테아르산마그네슘,탤크,히드록시프로필셀룰로오스",2019-06-25,제조,원형,10.0,10.0,,Trimebutine Maleate
1641,엔비케이제약(주),메부란정100mg(트리메부틴말레산염),트리메부틴말레산염,"미결정셀룰로오스,유당수화물,콜로이드성이산화규소,크로스카멜로오스나트륨,스테아르산마그네슘,탤크,히드록시프로필셀룰로오스",2023-08-31,제조,,,,,Trimebutine Maleate
1642,구주제약(주),메부틴정(트리메부틴말레산염)(수출명: Supertrim Tab.),트리메부틴말레산염,"저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,코포비돈,유당수화물,콜로이드성이산화규소,스테아르산마그네슘,포비돈,카르복시메틸셀룰로오스칼슘,경질무수규산,전분글리콜산나트륨,히드록시프로필셀룰로오스",2004-06-03,제조,원형,8.13,8.13,,Trimebutine Maleate
1643,명인제약(주),메빌정,건조수산화알루미늄겔/탄산마그네슘,"라우릴황산나트륨,유당수화물,콜로이드성이산화규소,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,탤크,옥수수전분",2001-11-14,제조,타원형,15.0,8.0,,Dried Aluminium Hydroxide Gel/Magnesium Carbonate
1644,(주)바스칸바이오제약,메이놀정,비사코딜/도큐세이트나트륨,"미결정셀룰로오스,스테아르산마그네슘,탭쉴드녹색(319G977),경질무수규산,탤크,전분글리콜산나트륨,히드록시프로필셀룰로오스",2022-01-03,제조,원형,6.2,6.2,,Bisacodyl/Docusate Sodium
1645,(주)바스칸바이오제약,메이센정,비사코딜/도큐세이트나트륨/센나엽 가루,"황색4호,유당수화물,폴리에틸렌글리콜6000,산화티탄,크로스카멜로오스나트륨,스테아르산마그네슘,경질무수규산,탤크,전분글리콜산나트륨,히프로멜로오스프탈레이트,히드록시프로필셀룰로오스,청색1호",2021-03-09,제조,원형,7.9,7.9,,Bisacodyl/Docusate Sodium/Senna Leaf Powder
1646,영일제약(주),메이에스정(수출용),도큐세이트나트륨/카산드라놀/비사코딜/데히드로콜린산,"히드록시프로필메칠셀룰로오스2208,적색3호,유당,젤라틴,산화티탄,백당,카르복시메칠셀룰로오스칼슘,옥수수전분,스테아린산마그네슘",2000-04-26,제조,,,,,Docusate Sodium/Casanthranol/Bisacodyl/Dehydrocholic Acid
1647,(주)바스칸바이오제약,메이큐정,비사코딜/도큐세이트나트륨,"저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,황색4호,유당수화물,폴리에틸렌글리콜6000,산화티탄,스테아르산마그네슘,경질무수규산,카르복시메틸셀룰로오스칼슘,탤크,옥수수전분,히프로멜로오스프탈레이트,히드록시프로필셀룰로오스,청색1호",2021-06-23,제조,,,,,Bisacodyl/Docusate Sodium
1648,명인제약(주),메이킨에스정(수출용),비사코딜/카산트라놀/데히드로콜린산/도큐세이트나트륨,"저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,크로스포비돈,콜로이드성실리콘디옥사이드,오파그로스97W19196클리어,오파드라이Ⅱ85F61354그린,옥수수전분,스테아린산마그네슘",1994-12-09,제조,타원형,12.0,6.7,,Bisacodyl/Casanthranol/Dehydrocholic Acid/Docusate Sodium
1649,명인제약(주),메이킨큐장용정,비사코딜/카산트라놀/도큐세이트나트륨/우르소데옥시콜산,"저치환도히드록시프로필셀룰로오스,크로스카르멜로오스나트륨,유드라짓L100,폴리에틸렌글리콜4000,미결정셀룰로오스,크로스포비돈,히프로멜로오스,폴리에틸렌글리콜6000,산화티탄,콜로이드성이산화규소,스테아르산마그네슘,오파드라이II녹색(85F610023),에틸셀룰로오스분산액,탤크,시트르산트리에틸",2014-10-30,제조,원형,6.8,6.8,,Bisacodyl/Casanthranol/Docusate Sodium/Ursodeoxycholic Acid
1650,태극제약(주),메카바액(시트룰린말산염),시트룰린말산염,"수산화나트륨,오렌지엣센스,자일리톨,D-소르비톨액,정제수",2009-07-22,제조,,,,,Citrulline Malate
1651,태극제약(주),메카인정,메클리진염산염수화물/스코폴라민브롬화수소산염수화물/카페인무수물,"적색3호,미결정셀룰로오스,유당수화물,스테아르산마그네슘,옥수수전분,전분글리콜산나트륨,히드록시프로필셀룰로오스",1991-02-06,제조,원형,14.0,14.0,,Meclizine Hydrochloride Hydrate/Scopolamine Hydrobromide Hydrate/Anhydrous Caffeine
1652,(주)넥스팜코리아,메코라캡슐(메코발라민)(수출용),메코발라민,"상-적색, 하-살색 캡슐,유당수화물,이산화규소,스테아르산마그네슘,옥수수전분",2017-07-10,제조,,,,,Mecobalamin
1653,진양제약(주),메코마그빅정,산화마그네슘/리보플라빈/메코발라민/셀레늄함유건조효모/피리독신염산염/토코페롤아세테이트 2배산/감마-오리자놀,"미결정셀룰로오스,크로스포비돈,스테아르산마그네슘,탭쉴드갈색(29B1093),경질무수규산,히드록시프로필셀룰로오스",2023-04-18,제조,장방형,19.4,9.2,,Magnesium Oxide/Riboflavin/Mecobalamin/Selenium In Dried Yeast/Pyridoxine Hydrochloride/Tocopherol Acetate Powder 50%/Gamma-Oryzanol
1654,신일제약(주),메코민캡슐(메코발라민),메코발라민,"상-적색, 하-살색 캡슐,유당수화물,이산화규소,스테아르산마그네슘,옥수수전분",1978-01-07,제조,장방형,15.7,5.57,,Mecobalamin
1655,명문제약(주),메코발캡슐500마이크로그램(메코발라민)(수출용),메코발라민,"유당수화물,스테아르산마그네슘,캡슐(상부-적색, 하부-적색)",1996-10-14,제조,,,,,Mecobalamin
1656,메딕스제약(주),메코비정,폴산/비오틴/메코발라민/산화아연/유비데카레논/산화마그네슘/피리독신염산염/벤포티아민/니코틴산아미드/아스코르브산/이노시톨/셀레늄함유건조효모/리보플라빈/감마-오리자놀/우르소데옥시콜산/토코페롤아세테이트 2배산/콜레칼시페롤농축분말/판토텐산칼슘,"미결정셀룰로오스,크로스포비돈,스테아르산마그네슘,탈크,탭쉴드갈색(29B1093),경질무수규산,카올린",2022-07-28,제조,타원형,16.3,9.4,,Folic Acid/Biotin/Mecobalamin/Zinc Oxide/Ubidecarenone/Magnesium Oxide/Pyridoxine Hydrochloride/Benfotiamine/Nicotinamide/Ascorbic Acid/Inositol/Selenium In Dried Yeast/Riboflavin/Gamma-Oryzanol/Ursodeoxycholic Acid/Tocopherol Acetate Powder 50%/Cholecalciferol Concentrate Powder/Calcium Pantothenate
1657,삼진제약(주),메코스파정(트리메부틴말레산염)(수출용),트리메부틴말레산염,"저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,유당수화물,콜로이드성이산화규소,스테아르산마그네슘",1998-12-08,제조,,,,,Trimebutine Maleate
1658,동성제약(주),메코이에프정,메코발라민/푸르설티아민염산염/피리독신염산염/폴산/토코페롤아세테이트 2배산,"오파드라이흰색 OY-C 7000A,크로스카르멜로오스나트륨,미결정셀룰로오스,오파드라이 AMB 2 빨간색 88A650047,유당수화물,메타규산알루민산마그네슘,콜로이드성이산화규소,스테아르산마그네슘,D-소르비톨",2023-05-16,제조,타원형,18.5,8.0,,Mecobalamin/Fursultiamine Hydrochloride/Pyridoxine Hydrochloride/Folic Acid/Tocopherol Acetate Powder 50%
1659,(주)씨티씨바이오,메클린구강용해필름25밀리그램(메클리진염산염수화물)(오렌지향),메클리진염산염수화물,"프로필렌글리콜,시트르산수화물,청포도향 71334,오렌지오일,오렌지에센스,히프로멜로오스,산화티탄,황색산화철,수크랄로스,L-멘톨,네오헤스페리딘디히드로찰콘,히드록시프로필셀룰로오스",2016-05-16,제조,사각형,37.0,27.0,,Meclizine Hydrochloride Hydrate
1660,한국신텍스제약(주),메타겐크림,베타메타손발레레이트/겐타마이신황산염,"프로필렌글리콜,클로로크레솔,마크로골스테아레이트,폴리소르베이트60,세탄올,스테아릴알코올,유동파라핀,정제수",2015-07-27,제조,,,,,Betamethasone Valerate/Gentamicin Sulfate
1661,태극제약(주),메타겔크림(인도메타신),인도메타신,"프로필렌글리콜,벤조산나트륨,글리세린모노스테아레이트,폴리소르베이트 60,N-메틸피롤리돈,유동파라핀,카보머 940,미리스트산이소프로필,l-멘톨,정제수",2007-02-27,제조,,,,,Indometacin
1662,태극제약(주),메타리빈나잘워시액(염화나트륨)(수출명:오션나잘액),염화나트륨,"인산이수소나트륨,벤잘코늄염화물,에데트산나트륨수화물,무수인산수소나트륨,정제수,인산이수소칼륨,농글리세린",2014-03-10,제조,,,,,Sodium Chloride
1663,태극제약(주),메타리빈액0.05%(자일로메타졸린염산염),자일로메타졸린염산염,"프로필렌글리콜,폴리에틸렌글리콜400,인산이수소나트륨,인산수소나트륨수화물,벤잘코늄염화물,에데트산나트륨수화물,포비돈,정제수",2023-11-01,제조,,,,,Xylometazoline Hydrochloride
1664,태극제약(주),메타리빈액0.1%(자일로메타졸린염산염),자일로메타졸린염산염,"프로필렌글리콜,폴리에틸렌글리콜400,인산이수소나트륨,인산수소나트륨수화물,벤잘코늄염화물,에데트산나트륨수화물,포비돈,유칼리유,l-멘톨,정제수",2014-05-01,제조,,,,,Xylometazoline Hydrochloride
1665,경방신약(주),메타민프리미엄정,벤포티아민/리보플라빈부티레이트/니코틴산아미드/판토텐산칼슘/피리독살포스페이트수화물/시아노코발라민 1000배산/비오틴/폴산/콜린타르타르산염/이노시톨/아스코르브산/토코페롤아세테이트 2배산/농축콜레칼시페롤(분말형)/셀레늄함유건조효모/산화마그네슘/산화아연/유비데카레논/감마-오리자놀/우르소데옥시콜산,"탭쉴드갈색(99B722),저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,유당수화물,탭쉴드흰색(19W623),콜로이드성이산화규소,스테아르산마그네슘,전분글리콜산나트륨,히드록시프로필셀룰로오스",2022-01-10,제조,,,,,Benfotiamine/Riboflavin Butyrate/Nicotinamide/Calcium Pantothenate/Pyridoxal Phosphate Hydrate/Cyanocobalamin Powder 0.1%/Biotin/Folic Acid/Choline Tartrate/Inositol/Ascorbic Acid/Tocopherol Acetate Powder 50%/Cholecalciferol Concentrate Powder/Selenium In Dried Yeast/Magnesium Oxide/Zinc Oxide/Ubidecarenone/Gamma-Oryzanol/Ursodeoxycholic Acid
1666,경방신약(주),메타비액티브정,벤포티아민/리보플라빈/니코틴산아미드/판토텐산칼슘/피리독신염산염/시아노코발라민 1000배산/비오틴/폴산/콜린타르타르산염/이노시톨/아스코르브산/시트르산칼슘수화물/농축콜레칼시페롤(분말형)/감마-오리자놀/산화마그네슘/산화아연/우르소데옥시콜산,"탭쉴드갈색(99B722),미결정셀룰로오스,폴리에틸렌글리콜6000,탭쉴드흰색(19W623),크로스카멜로오스나트륨,콜로이드성이산화규소,스테아르산마그네슘,전분글리콜산나트륨,히드록시프로필셀룰로오스",2021-07-29,제조,,,,,Benfotiamine/Riboflavin/Nicotinamide/Calcium Pantothenate/Pyridoxine Hydrochloride/Cyanocobalamin Powder 0.1%/Biotin/Folic Acid/Choline Tartrate/Inositol/Ascorbic Acid/Calcium Citrate Hydrate/Cholecalciferol Concentrate Powder/Gamma-Oryzanol/Magnesium Oxide/Zinc Oxide/Ursodeoxycholic Acid
1667,현대약품(주),메타지크림,베타메타손발레레이트/겐타마이신황산염,"프로필렌글리콜,팔미트산세틸,파라옥시벤조산프로필,세탄올,폴리소르베이트60,백색바셀린,경질유동파라핀,파라옥시벤조산메틸,소르비탄스테아레이트,정제수",2021-12-15,제조,,,,,Betamethasone Valerate/Gentamicin Sulfate
1668,대화제약(주),메타플러스첩부제(인도메타신),인도메타신,"디이소프로판올아민,린트포,프로필렌글리콜,실리카,부틸히드록시톨루엔,아크릴레이트/비닐아세테이트 점착용액,박리지,N-메틸피롤리돈,L-멘톨,고무계점착용액,아크릴계점착용액,소르비탄라우레이트,농글리세린,히드록시프로필셀룰로오스,알루미늄아세틸아세토네이트용액",2004-04-06,제조,,,,,Indometacin
1669,대원제약(주),메트란캡슐(메코발라민)(수출용),메코발라민,"유당수화물,상부-적색, 하부-미황색캅셀,스테아르산마그네슘,D-만니톨",1985-02-25,제조,,,,,Mecobalamin
1670,대원제약(주),메트란캡슐500㎍(메코발라민),메코발라민,"상부 적색캡슐,유당수화물,이산화규소,스테아르산마그네슘,하부 살색캡슐,하부 적색캡슐,옥수수전분,D-만니톨",1996-07-09,제조,,,,,Mecobalamin
1671,(주)한국파마,메페믹정(수출용),메페남산,"에틸셀룰로오스,포비돈K30,히프로멜로오스,디아세틸화모노글리세리드,산화티탄,스테아르산마그네슘,옥수수전분,전분글리콜산나트륨,히드록시프로필셀룰로오스,청색1호알루미늄레이크",1995-09-19,제조,,,,,Mefenamic Acid
1672,일성신약(주),메피롤-씨시럽2%(카르보시스테인),카르보시스테인,"수산화나트륨,혼합과일향 G-1205,백당,에데트산나트륨수화물,염산,적색40호,파라옥시벤조산메틸,정제수,에탄올",2006-08-24,제조,,,,,Carbocisteine
1673,일성신약(주),메피롤-씨시럽5%(카르보시스테인),카르보시스테인,"수산화나트륨,혼합과일향 G-1205,황색5호,백당,에데트산나트륨수화물,염산,파라옥시벤조산메틸,정제수,에탄올",2006-08-24,제조,,,,,Carbocisteine
1674,동아제약(주),멕시롱액(돔페리돈),돔페리돈,"벤조산나트륨,시트르산,허벌엣센스에스-50,백당,폴록사머,카라멜색소,시트르산나트륨수화물,D-소르비톨액 70%,에탄올,정제수",1993-11-10,제조,,,,,Domperidone
1675,한림제약(주),멕시멈레드니스릴리프점안액(수출용),글리세린/나파졸린염산염,"붕산,벤잘코늄염화물,에데트산나트륨수화물,주사용수,붕사",2011-09-22,제조,,,,,Glycerin/Naphazoline Hydrochloride
1676,(주)에이프로젠바이오로직스,멕시캄겔(피록시캄),피록시캄,"카보머940,트롤아민,파라옥시벤조산프로필,L-멘톨,파라옥시벤조산메틸,농글리세린,디에틸렌글리콜모노에틸에테르,에탄올,정제수",2009-07-16,제조,,,,,Piroxicam
1677,신신제약(주),멘덤쿨로오숀,살리실산메틸/l-멘톨/dl-캄파,"트롤아민,파라옥시벤조산프로필,폴리소르베이트60,라놀린유,카보머941,경질유동파라핀,소르비탄스테아레이트,파라옥시벤조산메틸,정제수",1995-02-08,제조,,,,,Methyl Salicylate/L-Menthol/DL-Camphor
1678,주식회사제뉴원사이언스,멘소래담딥릴리프겔,L-멘톨/이부프로펜,"디이소프로판올아민,프로필렌글리콜,카보머 940,알로에베라겔,부틸렌글리콜,에탄올,정제수",2016-07-20,제조,,,,,L-Menthol/Ibuprofen
1679,진양제약(주),멘소래담딥액션카타플라스마,살리실산메틸/l-멘톨/dl-캄파/노닐산바닐릴아미드,"합성고무에스비알라텍스,이소프로필미리스테이트,수소첨가 C6-20폴리올레핀,부틸히드록시톨루엔,산화티탄,폴리아크릴산나트륨,러버라텍스,폴리부텐,강암모니아수,박리지,산화아연,폴리소르베이트 80,유동파라핀,카올린,정제수,농글리세린,부직포",2018-12-19,제조,,,,,Methyl Salicylate/L-Menthol/DL-Camphor/Vanillyl Nonylamide
1680,맨소래덤아시아퍼시픽 주식회사,멘소래담로션(Mentholatumlotion),살리실산메틸/디엘멘톨,"란트롤,트롤아민,폴리소르베이트60,카보머941,광유,모노스테아린산소르비탄,정제수",1998-10-02,수입,,,,미국,Methyl Salicylate/DL-Menthol
1681,맨소래덤아시아퍼시픽 주식회사,멘소래담에이디크림,크로타미톤/디펜히드라민/토코페롤/에녹솔론/멘톨,"스쿠알란,폴리옥시에틸렌세틸에텔,우레아,트롤아민,파라옥시벤조산부틸,글리세릴모노스테아레이트,세탄올,카보머,DL-피롤리돈카르복실산나트륨액,파라옥시벤조산메틸,팔미트산이소프로필,정제수",2020-08-05,수입,,,,중국,Crotamiton/Diphenhydramine/Tocopherol/Enoxolone/Menthol
1682,진양제약(주),멘소래담코인플라스타,살리실산메틸/l-멘톨/dl-캄파/박하유/토코페롤아세테이트/디펜히드라민/노닐산바닐릴아미드,"폴리이소부틸렌,부틸레이티드히드록시톨루엔,수소첨가 C6-20폴리올레핀,스티렌이소프렌스티렌블록공중합체,폴리에틸렌테레프탈레이트 세파레이터,유동파라핀,부직포",2018-12-19,제조,,,,,Methyl Salicylate/L-Menthol/DL-Camphor/Mentha Herb Oil/Tocopherol Acetate/Diphenhydramine/Vanillyl Nonylamide
1683,태극제약(주),멘솔프리즈겔(수출용),멘톨/캄파,"트롤아민,이소프로판올,카보머 940,파라옥시벤조산메틸,정제수",2010-07-06,제조,,,,,Menthol/Camphor
1684,(주)알피바이오,멘유포르테연질캡슐,벤포티아민/γ-오리자놀/토코페롤아세테이트/니코틴산아미드/판토텐산칼슘/리보플라빈부티레이트/우르소데옥시콜산/피리독신염산염/시아노코발라민1000배산,"콩기름,레시틴,황색5호,에틸바닐린,젤라틴,산화티탄,소르비톨 액(비결정성),야자경화유,황납,적색40호,농글리세린,청색1호",2007-02-06,제조,장방형,21.9,7.5,,Benfotiamine/Gamma-Oryzanol/Tocopherol Acetate/Nicotinamide/Calcium Pantothenate/Riboflavin Butyrate/Ursodeoxycholic Acid/Pyridoxine Hydrochloride/Cyanocobalamin Powder 0.1%
1685,동성제약(주),멘자펜정,아세트아미노펜/카페인수화물/말레인산피릴라민,"적색3호,콜로이달실리콘디옥사이드,황색5호,히프로멜로오스,폴리에틸렌글리콜6000,산화티탄,스테아르산마그네슘,탤크,전분글리콜산나트륨,히드록시프로필셀룰로오스",1999-03-31,제조,장방형,18.8,6.8,,Acetaminophen/Caffeine Hydrate/Pyrilamine Maleate
1686,대화제약(주),멘타덤카타플라스마(엘멘톨)(수출용)(수출명:MenthandermCold&HotPainreliefPatch),엘 멘톨,"폴리프로필렌필름,부틸렌글라이콜,폴리소르베이트80,디에칠렌글리콜모노에칠에테르,폴리아크릴산액,알루미늄글리시네이트,산화티탄,소듐폴리아크릴레이트,에데트산나트륨,카르복시메칠셀룰로오스나트륨,파라옥시안식향산메칠,파라옥시안식향산프로필,부직포,정제수,농글리세린,주석산",2005-05-31,제조,,,,,L-Menthol
1687,신신제약(주),멘타쿨카타플라스마(엘멘톨)(수출용)(수출명:별첨),L-멘톨,"타르타르산,플라스틱필름,토코페롤아세테이트,폴리소르베이트80,피마자유,폴리에틸렌글리콜모노스테아레이트,부틸히드록시톨루엔,산화티탄,젤라틴,폴리아크릴산나트륨,메타규산알루민산마그네슘,에데트산나트륨수화물,포비돈,폴리비닐알코올,알로에베라겔,파라옥시벤조산메틸,카올린,건조수산화알루미늄겔,미리스트산이소프로필,농글리세린,정제수,부직포",2005-07-28,제조,,,,,L-Menthol
1688,한국코러스(주),멘토비엠정,벤포티아민/비스벤티아민/리보플라빈부티레이트/니코틴산아미드/판토텐산칼슘/피리독살포스페이트수화물/폴산/시아노코발라민/레티놀아세테이트/콜린타르타르산염/이노시톨/토코페롤아세테이트 2배산/농축콜레칼시페롤(분말형)/산화마그네슘/산화아연/우르소데옥시콜산,"저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,탭쉴드흰색(19W623),바닐라미크론,콜로이드성이산화규소,스테아르산마그네슘,탭쉴드분홍색(99P664),전분글리콜산나트륨,히드록시프로필셀룰로오스",2021-02-03,제조,타원형,17.6,10.3,,Benfotiamine/Bisbentiamine/Riboflavin Butyrate/Nicotinamide/Calcium Pantothenate/Pyridoxal Phosphate Hydrate/Folic Acid/Cyanocobalamin/Retinol Acetate/Choline Tartrate/Inositol/Tocopherol Acetate Powder 50%/Cholecalciferol Concentrate Powder/Magnesium Oxide/Zinc Oxide/Ursodeoxycholic Acid
1689,(주)동구바이오제약,멘프란연질캡슐(수출용),서양칠엽수종자엑스/마늘유/프로카인염산염/피리독신염산염/리보플라빈/티아민질산염/토코페롤아세테이트/레티놀팔미테이트,"콩기름,에칠바닐린,레시친,젤라틴,산화티탄,D-소르비톨액,팜유,백납,농글리세린,식약청인정타르색소",2007-12-18,제조,,,,,Aesculus Hippocastanum L. Seeds Extract/Allium Sativum Oil/Procaine Hydrochloride/Pyridoxine Hydrochloride/Riboflavin/Thiamine Nitrate/Tocopherol Acetate/Retinol Palmitate
1690,동아제약(주),멜라노사크림(히드로퀴논),히드로퀴논,"피로아황산나트륨,스테아르산,부틸레이티드히드록시톨루엔,폴리에틸렌글리콜4000,파라옥시벤조산프로필,메칠글루세스-10,자기유화형글리세린모노스테아레이트,부틸렌글리콜,세틸알코올,스테아릴알코올,파라옥시벤조산메틸,농글리세린,폴리에틸렌글리콜1500,정제수",2011-08-24,제조,,,,,Hydroquinone
1691,(주)유앤생명과학,멜라신장용정(브로멜라인),브로멜라인,"오파드라이흰색(85F18422),황색5호(선셋옐로우FCF)알루미늄레이크,미결정셀룰로오스,유당수화물,크로스카멜로오스나트륨,스테아르산마그네슘,경질무수규산,아크릴이즈흰색(93O18509)",2020-07-29,제조,,,,,Bromelain
1692,(주)아리제약,멜라인장용정(브로멜라인),브로멜라인,"셀라세페이트,미결정셀룰로오스,유당수화물,산화티탄,스테아르산마그네슘,전분글리콜산나트륨,황색5호알루미늄레이크,히드록시프로필셀룰로오스",2020-05-11,제조,장방형,13.6,7.4,,Bromelain
1693,오스틴제약(주),멜라큐정,L-시스테인/아스코르브산 과립97%/판토텐산칼슘,"황색5호,미결정셀룰로오스,히프로멜로오스,이산화규소,폴리에틸렌글리콜6000,산화티탄,스테아르산마그네슘,탤크,오파드라이흰색(OY-C-7000A),청색1호",2023-03-29,제조,타원형,19.0,8.7,,L-Cysteine/Ascorbic Acid Granules 97%/Calcium Pantothenate
1694,동아제약(주),멜라토닝크림(히드로퀴논),히드로퀴논,"피로아황산나트륨,아스코르브산팔미테이트,스테아르산,부틸레이티드히드록시톨루엔,폴리에틸렌글리콜4000,이소프로필미리스테이트,파라옥시벤조산프로필,자기유화형글리세릴모노스테아레이트,모노앤디글리세리드,세탄올,데카메틸시클로펜타실록산,부틸렌글리콜,스테아릴알코올,메틸글루세스-10,파라옥시벤조산메틸,유동파라핀,농글리세린,정제수",2019-10-28,제조,,,,,Hydroquinone
1695,(주)한국파비스제약,멜로신정45밀리그램(브로멜라인),브로멜라인,"오파드라이흰색(85F18422),미결정셀룰로오스,유당수화물,황색산화철,포비돈,콜로이드성이산화규소,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,아크릴이즈흰색(93O18509),적색산화철",2020-11-26,제조,장방형,9.2,4.7,,Bromelain
1696,(주)한국파비스제약,멜로콤정,브로멜라인/디펜히드라민염산염/카페인무수물,"미결정셀룰로오스,유당수화물,이산화규소,폴리에틸렌글리콜6000,산화티탄,스테아르산마그네슘,히프로멜로오스프탈레이트",2020-01-07,제조,,,,,Bromelain/Diphenhydramine Hydrochloride/Anhydrous Caffeine
1697,동아제약(주),멜리안정,게스토덴/에티닐에스트라디올,"유당일수화물,몬탄글리콜왁스,칼슘카보네이트,스테아르산마그네슘,백당,마크로골6000,탤크,옥수수전분,포비돈25000,포비돈700000",2008-06-27,수입,원형,6.0,6.0,프랑스,Gestodene/Ethinyl Estradiol
1698,(주)테라젠이텍스,멜린씨정,L-시스테인/아스코르브산97%과립/판토텐산 칼슘,"미결정셀룰로오스,크로스포비돈,탭쉴드흰색(93W280),스테아르산마그네슘,탭쉴드갈색(21B291),히드록시프로필셀룰로오스",2009-07-03,제조,장방형,14.85,8.17,,L-Cysteine/Ascorbic Acid Granules 97%/Calcium Pantothenate
1699,(주)시어스제약,멜린업정,L-시스테인/아스코르브산/판토텐산칼슘,"함수이산화규소,미결정셀룰로오스,히드록시프로필렌셀룰로오스,크로스포비돈,탭쉴드흰색(19W623),스테아르산마그네슘,탭쉴드갈색(59B346)",2022-03-23,제조,,,,,L-Cysteine/Ascorbic Acid/Calcium Pantothenate
1700,(주)동구바이오제약,멜아웃정,L-시스테인/제피아스코르브산/판토텐산칼슘/피리독신염산염/트라넥삼산,"오파드라이 실버(62W28547),미결정셀룰로오스,크로스포비돈,글리세릴베헤네이트,스테아르산마그네슘,콜로이드성이산화규소,아크릴이지 화이트(93O18508),오파드라이 핑크(80W44083),히드록시프로필셀룰로오스",2011-10-21,제조,원형,9.7,9.7,,L-Cysteine/Ascorbic Acid Coated/Calcium Pantothenate/Pyridoxine Hydrochloride/Tranexamic Acid
1701,(주)뉴젠팜,멜팅에프크림,토코페롤아세테이트/에녹솔론/dl-캄파/글리세린,"벤조산나트륨,세틸팔미테이트,리보플라빈,세탄올,2-옥틸도데칸올,폴리소르베이트60,백색바셀린,스테아릴알코올,소르비탄스테아레이트,경질유동파라핀,미리스트산이소프로필,정제수",2017-10-20,제조,,,,,Tocopherol Acetate/Enoxolone/DL-Camphor/Glycerin
1702,삼남제약(주),명랑에스산,아세트아미노펜/무수카페인,"스테아르산마그네슘,옥수수전분",2007-03-19,제조,,,,,Acetaminophen/Anhydrous Caffeine
1703,명문제약(주),명문아스피린장용정100mg,아스피린,"스테아르산,미결정셀룰로오스,탭쉴드흰색(39W261),탭쉴드흰색(93W280),전호화전분,경질무수규산,아크릴이즈93O18509 흰색,히드록시프로필셀룰로오스",2013-11-20,제조,원형,7.2,7.2,,Aspirin
1704,(주)녹십자,명심고카타플라스마,살리실산글리콜/L-멘톨/토코페롤아세테이트/황백연조엑스(3.3→1),"타르타르산,폴리프로필렌필름,폴리소르베이트80,소르비탄세스퀴올레에이트,글리세린,파라옥시벤조산프로필,폴리아크릴산나트륨,젤라틴,니카졸 TS-620,에데트산나트륨수화물,카르복시메틸셀룰로오스나트륨,파라옥시벤조산메틸,카올린,건조수산화알루미늄겔,정제수,부직포",2003-01-23,제조,,,,,Glycol Salicylate/L-Menthol/Tocopherol Acetate/Phellodendron Bark Soft Extract (3.3→1)
1705,동화약품(주),모가프텐트로키(플루르비프로펜),플루르비프로펜,"시트르산수화물,황색4호,레몬분말향91271,수크랄로스,스테아르산마그네슘,레몬라임 엣센스 비-6100,프로폴리스향100218 ,D-소르비톨,히드록시프로필셀룰로오스",2018-06-22,제조,원형,16.1,16.1,,Flurbiprofen
1706,(주)비보존제약,모게인정,d-비오틴/산화아연,"미결정셀룰로오스102,유당수화물,오파드라이흰색(03B28796),콜로이드성이산화규소,스테아르산마그네슘,미결정셀룰로오스101",2017-04-10,제조,원형,8.1,8.1,,D-Biotin/Zinc Oxide
1707,(주)대웅제약,모겐쿨스프레이,수용성아줄렌/세틸피리디늄염화물수화물,"프로필렌글리콜,시트르산수화물,수산화나트륨,솔분말향,글리세린,L-멘톨,시트르산나트륨수화물,D-소르비톨액,에탄올,정제수",2016-01-26,제조,,,,,Soluble Azulene/Cetylpyridinium Chloride Hydrate
1708,동아제약(주),모글원큐스프레이,벤지다민염산염/세틸피리디늄염화물수화물,"벤조산나트륨,시트르산수화물,사카린나트륨수화물,조합향료(민트향S-9623),자일리톨,수크랄로스,조합향료(페퍼민트 후레이바 ZKF96023),시트르산나트륨수화물,조합향료(프로폴리스향 100218),농글리세린,에탄올,폴리옥실40경화피마자유,정제수",2020-05-14,제조,,,,,Benzydamine Hydrochloride/Cetylpyridinium Chloride Hydrate
1709,동아제약(주),모글원큐키즈스프레이(벤지다민염산염),벤지다민염산염,"벤조산나트륨,시트르산수화물,사카린나트륨수화물,조합향료(민트향S-9623),자일리톨,수크랄로스,시트르산나트륨수화물,농글리세린,에탄올,폴리옥실40경화피마자유,정제수",2021-10-28,제조,,,,,Benzydamine Hydrochloride
